rmsd_l,rmsd_i,fnat,dbsa,dnonb_e,dnonb_water,dcom_distance,dhbnum,quality
0.7415181,0.3424996,0.09,0.7409999999999997,353.17999999999995,-1033.9000000000015,0.0040000000000000036,-4.0,native
0.6944087,0.3405160,0.1,0.8870000000000005,354.38199999999995,-1026.2999999999993,-0.06800000000000006,-3.0,native
0.7000098,0.3342856,0.06,3.0569999999999986,353.6809999999999,-751.2999999999993,-0.03100000000000014,-4.0,native
0.7083517,0.3112979,0.04,0.3949999999999996,379.6909999999999,-490.2999999999993,-0.06099999999999994,-4.0,native
0.7147738,0.3183751,0.1,1.5479999999999983,412.13199999999995,-151.59999999999854,-0.03500000000000014,-4.0,native
0.7058084,0.3293416,0.09,-0.9800000000000004,318.246,-1040.5,-0.04300000000000015,-3.0,native
0.7132789,0.3237360,0.06,1.3949999999999996,509.621,-300.59999999999854,-0.05699999999999994,-7.0,native
0.7247055,0.3112470,0.07,1.3689999999999998,458.376,-1494.0,-0.03799999999999981,-6.0,native
0.7072523,0.3020651,0.05,0.6729999999999983,472.83799999999997,-982.4000000000015,-0.06599999999999984,-6.0,native
0.6399382,0.3188183,0.08,-2.0199999999999996,560.6289999999999,-1233.5999999999985,-0.06499999999999995,-8.0,native
0.7126342,0.3775639,0.04,0.4469999999999992,499.01,-1505.0,-0.11799999999999988,-8.0,native
0.6372018,0.3016187,0.05,-1.551000000000002,594.808,-1085.4000000000015,-0.07500000000000018,-8.0,native
0.6265794,0.3093440,0.03,1.2749999999999986,538.962,-512.7000000000007,-0.06499999999999995,-7.0,native
0.6387171,0.3072008,0.06,-0.26399999999999935,485.90099999999995,-891.9000000000015,-0.041999999999999815,-7.0,native
0.6485845,0.3295642,0.08,-0.13500000000000156,462.90299999999996,-1241.5999999999985,-0.04499999999999993,-5.0,native
0.7362840,0.3134764,0.05,1.0219999999999985,466.664,-712.0999999999985,-0.041999999999999815,-7.0,native
0.7524174,0.2795902,0.08,1.722999999999999,506.96399999999994,-894.0999999999985,-0.03699999999999992,-7.0,native
0.6639258,0.3303885,0.07,-0.3180000000000014,367.808,-1224.5,-0.06999999999999984,-4.0,native
0.7837247,0.3535168,0.05,0.6189999999999998,315.754,-228.70000000000073,-0.07200000000000006,-5.0,native
0.7664216,0.3496616,0.05,2.2300000000000004,376.972,-470.7999999999993,-0.06199999999999983,-7.0,native
0.7337207,0.3586767,0.06,2.1050000000000004,371.148,-1265.7000000000007,-0.02300000000000013,-6.0,native
0.7561291,0.3119830,0.05,-6.003000000000002,453.04999999999995,-916.7000000000007,0.14700000000000024,-3.0,native
0.6760579,0.3002321,0.05,-7.080000000000002,544.111,-1779.9000000000015,0.14900000000000002,-8.0,native
0.7598765,0.3015711,0.07,-5.811,518.864,-917.7000000000007,0.17700000000000005,-6.0,native
0.8580475,0.3460172,0.05,-3.6159999999999997,438.91999999999996,-300.90000000000146,0.15500000000000025,-5.0,native
0.9303026,0.3793369,0.05,-4.085000000000001,480.98499999999996,194.79999999999927,0.17200000000000015,-4.0,native
0.8607132,0.3257070,0.04,-4.2940000000000005,423.928,-293.2000000000007,0.17099999999999982,-3.0,native
0.8848769,0.3593330,0.05,-5.246000000000002,501.866,-1544.2999999999993,0.18199999999999994,-3.0,native
0.8516554,0.3234856,0.05,-3.867000000000001,384.93499999999995,-859.7999999999993,0.11500000000000021,-3.0,native
0.9253995,0.3399422,0.05,-2.905000000000001,352.928,-662.7999999999993,0.15799999999999992,-1.0,native
0.8660490,0.3246972,0.05,-4.66,424.49199999999996,-870.5999999999985,0.13600000000000012,-5.0,native
0.8846841,0.3664613,0.06,-5.271000000000001,502.207,-1105.7000000000007,0.19700000000000006,-5.0,native
0.8870756,0.3409998,0.05,-6.672000000000001,510.65999999999997,-912.5999999999985,0.17300000000000004,-5.0,native
0.9071565,0.3632350,0.05,-8.228000000000002,494.70399999999995,-431.2000000000007,0.22999999999999998,-6.0,native
0.9758412,0.3830207,0.03,-7.1530000000000005,564.1869999999999,-941.2000000000007,0.2520000000000002,-7.0,native
0.8895278,0.3278011,0.05,-5.629000000000001,358.76099999999997,-1029.9000000000015,0.13200000000000012,-1.0,native
0.8451496,0.3106143,0.05,-4.906000000000002,385.765,15.900000000001455,0.1200000000000001,-3.0,native
0.8108779,0.3191391,0.06,-5.085000000000001,323.001,-770.5,0.1200000000000001,-1.0,native
0.7218134,0.3071230,0.06,-6.335000000000001,406.8159999999999,-1056.9000000000015,0.14300000000000024,-4.0,native
0.8707204,0.3432764,0.05,-6.2120000000000015,429.116,-976.2000000000007,0.13100000000000023,-3.0,native
0.8237794,0.3063984,0.07,-4.868000000000002,447.928,-774.2999999999993,0.14900000000000002,-6.0,native
0.8064330,0.3202415,0.07,-4.805,380.02699999999993,-302.2999999999993,0.06400000000000006,-5.0,native
0.7606010,0.3400629,0.06,0.20899999999999963,-183.02099999999996,-419.6000000000022,0.041999999999999815,5.0,non-native
0.7922671,0.3532556,0.06,0.9710000000000001,-140.48400000000004,-329.5,-0.009000000000000341,-1.0,non-native
0.7652226,0.3482439,0.08,1.2560000000000002,-202.721,-197.60000000000218,-0.0050000000000003375,2.0,non-native
0.8241671,0.3574679,0.1,0.9699999999999989,-403.44100000000003,-101.5,0.018999999999999684,4.0,non-native
0.8063354,0.3715767,0.07,-0.15500000000000114,-277.52099999999996,-1017.7999999999993,0.02499999999999991,4.0,non-native
0.8217219,0.3725449,0.1,1.318999999999999,-361.221,-1125.9000000000015,0.016000000000000014,4.0,non-native
0.8509230,0.3645002,0.08,-0.3979999999999997,-250.8409999999999,-1460.7000000000007,0.008000000000000007,1.0,non-native
0.8750683,0.3592430,0.06,0.3180000000000014,-185.99099999999999,-1572.2000000000007,-0.015000000000000124,1.0,non-native
0.7762999,0.3431413,0.07,-0.477999999999998,-194.88100000000009,-2241.7999999999993,-0.02400000000000002,4.0,non-native
0.9192172,0.3681943,0.08,0.129999999999999,-105.61800000000005,-1319.0,0.016999999999999904,3.0,non-native
0.9354921,0.3759194,0.06,-0.32099999999999795,2.84699999999998,-438.0,-0.03100000000000014,0.0,non-native
0.8769057,0.3593008,0.07,0.6539999999999999,40.14700000000005,-1665.6000000000022,0.006999999999999673,0.0,non-native
0.8056096,0.3277010,0.09,0.5919999999999987,-4.2549999999999955,-1929.7999999999993,-0.04100000000000037,1.0,non-native
0.8513280,0.3609344,0.1,-0.26899999999999835,19.279999999999973,-1690.5,-0.04500000000000037,1.0,non-native
0.8862270,0.3753790,0.09,0.8560000000000016,2.6929999999999836,-1376.6000000000022,0.0029999999999996696,2.0,non-native
0.9890508,0.3772553,0.11,0.9929999999999986,137.87400000000002,-1758.7000000000007,0.005999999999999783,-1.0,non-native
0.9624918,0.3572332,0.07,-0.21699999999999875,44.721000000000004,-1394.0,-0.03000000000000025,-1.0,non-native
0.9195533,0.3784943,0.09,3.312000000000001,-82.10000000000002,-1473.0,0.04899999999999993,1.0,non-native
0.8473167,0.3862816,0.13,2.722999999999999,-200.99099999999999,-965.7999999999993,0.008000000000000007,2.0,non-native
0.8133264,0.3647760,0.11,2.085000000000001,-255.89100000000008,-1405.7000000000007,0.0040000000000000036,2.0,non-native
0.8480205,0.3642843,0.09,0.7119999999999997,-44.394000000000005,-2058.100000000002,0.017999999999999794,2.0,non-native
0.5989850,0.2946464,0.11,1.2169999999999987,9.31899999999996,-1384.2000000000007,0.03299999999999992,0.0,non-native
0.7322845,0.3145353,0.08,0.1960000000000015,47.45399999999995,-1847.5,0.053999999999999826,-1.0,non-native
0.7106161,0.3117805,0.12,1.3719999999999999,-21.33299999999997,-1490.1000000000022,0.04899999999999993,1.0,non-native
0.6922861,0.2980066,0.15,-0.31899999999999906,-53.59500000000003,-1387.9000000000015,0.020999999999999908,1.0,non-native
0.6798024,0.3035885,0.1,0.5470000000000006,34.00699999999995,-1292.4000000000015,-0.007000000000000117,0.0,non-native
0.6123438,0.2712218,0.12,1.376999999999999,-43.85500000000002,-1437.6000000000022,-0.03300000000000036,0.0,non-native
0.7258943,0.3105961,0.14,0.35800000000000054,3.758000000000038,-1586.2000000000007,0.021999999999999797,1.0,non-native
0.6515850,0.2973024,0.11,1.0090000000000003,-56.33299999999997,-1230.0,0.07099999999999973,2.0,non-native
0.7927377,0.2976184,0.08,1.9179999999999993,-30.55899999999997,-1004.7000000000007,-0.0040000000000000036,0.0,non-native
0.7129875,0.3077733,0.09,0.17600000000000193,32.184999999999945,-886.0,0.07599999999999962,0.0,non-native
0.6657069,0.2915453,0.1,-0.6239999999999988,83.101,-1706.5,0.08499999999999996,-1.0,non-native
0.6648145,0.2997615,0.08,-0.8120000000000012,49.14599999999996,-1050.6000000000022,0.06599999999999984,-1.0,non-native
0.6592527,0.3057185,0.09,-0.5579999999999998,37.65999999999997,-609.2000000000007,0.07999999999999963,0.0,non-native
0.7501872,0.2990948,0.1,-1.402000000000001,-124.75599999999997,-707.7000000000007,0.03599999999999959,1.0,non-native
0.6512496,0.2771101,0.1,0.04800000000000182,-76.16300000000001,-1281.4000000000015,0.0479999999999996,0.0,non-native
0.8204543,0.3123438,0.11,-1.698999999999998,27.43399999999997,-1705.7000000000007,0.029999999999999805,0.0,non-native
0.7930182,0.3322541,0.07,0.41499999999999915,-34.206999999999994,-1277.7999999999993,0.07899999999999974,0.0,non-native
0.6742357,0.2842124,0.11,1.532,-61.26200000000006,-1285.2000000000007,0.05099999999999971,1.0,non-native
0.5806776,0.3033224,0.09,0.18299999999999983,160.5,-1702.9000000000015,0.08599999999999985,-5.0,non-native
0.7319232,0.3086045,0.09,-0.13100000000000023,13.076999999999998,-658.2000000000007,0.06799999999999962,-1.0,non-native
0.8244309,0.3254091,0.1,-0.36799999999999855,32.25699999999995,-1732.7000000000007,0.05899999999999972,-2.0,non-native
1.0495186,0.2698812,0.09,-2.2749999999999986,358.86199999999997,-362.09999999999854,0.08799999999999963,-6.0,native
0.8985968,0.2710862,0.09,-3.2769999999999975,323.481,183.0,0.07299999999999995,-5.0,native
0.9346862,0.2710932,0.14,-3.6809999999999974,216.99599999999998,176.20000000000073,0.08799999999999963,-3.0,native
0.9100102,0.2656924,0.12,-3.4549999999999983,185.46699999999998,-360.6999999999971,0.09699999999999998,-4.0,native
0.8992730,0.2815826,0.1,-4.968999999999998,305.0609999999999,212.20000000000073,0.11599999999999966,-4.0,native
1.0356295,0.3090456,0.08,-3.357999999999997,8.77299999999991,1222.0,0.07099999999999973,-1.0,native
1.1232376,0.3398855,0.09,-2.828999999999997,81.82999999999993,662.0,0.08599999999999985,0.0,native
0.9272538,0.3358573,0.09,-2.860999999999997,20.668000000000006,1804.7000000000007,0.06999999999999984,0.0,native
