rmsd_l,rmsd_i,dfnat,dbsa,dnonb_e,dnonb_water,dcom_distance,dhbnum,quality
0.8408456,0.2965476,0.17,-2.530000000000001,281.429,-1998.800000000003,0.030999999999999694,-4.0,native
0.7855505,0.2555921,0.17,-0.6490000000000009,300.814,-2116.0,0.020000000000000018,-5.0,native
0.6492091,0.2331336,0.18,-1.6219999999999999,313.429,-1528.5999999999985,0.01200000000000001,-5.0,native
0.7827363,0.2341901,0.15,-1.2200000000000006,180.23000000000002,-661.9000000000015,0.0349999999999997,-4.0,native
0.6754568,0.2329268,0.21,-1.2919999999999998,226.505,-1188.199999999997,-0.027000000000000135,-4.0,native
0.7814538,0.2776357,0.16,-1.8030000000000008,174.50099999999998,-1497.5,0.06400000000000006,-4.0,native
0.8337331,0.2863554,0.14,-0.4720000000000013,125.40899999999999,-1906.300000000003,0.02400000000000002,-4.0,native
0.7346301,0.3041229,0.12,-3.84,365.086,-2421.0,0.07200000000000006,-5.0,native
0.7458944,0.2468641,0.11,-0.6620000000000008,150.582,-1917.0,-0.04200000000000026,-3.0,native
0.8717507,0.2580813,0.13,-2.08,246.935,-1336.800000000003,0.016000000000000014,-4.0,native
0.6825150,0.2234093,0.14,-1.987,81.61400000000003,-1303.699999999997,-0.001000000000000334,-3.0,native
0.7383130,0.2668239,0.17,-2.165000000000001,175.277,-1241.0,0.03799999999999981,-4.0,native
0.7671372,0.2510419,0.16,-2.01,107.15899999999999,-2097.300000000003,-0.020000000000000018,-3.0,native
0.7382496,0.2534787,0.2,-1.9589999999999996,54.03499999999997,-1638.5999999999985,0.02499999999999991,-3.0,native
0.7623628,0.2539339,0.15,-1.6880000000000006,53.96900000000005,-1517.199999999997,0.040999999999999925,-2.0,native
0.8283450,0.2617054,0.15,-2.7880000000000003,226.75799999999998,-2049.4000000000015,0.01200000000000001,-3.0,native
0.6143745,0.2357251,0.11,-2.3760000000000012,229.363,-1041.0999999999985,0.0,-5.0,native
0.7159911,0.2254293,0.16,1.6500000000000004,21.688999999999965,-1439.5999999999985,-0.0950000000000002,-3.0,native
0.7922380,0.2772337,0.14,-0.386000000000001,-49.932000000000016,-1770.4000000000015,-0.07800000000000029,-2.0,native
0.7979295,0.2773891,0.14,-0.7140000000000004,-26.721000000000004,-2210.9000000000015,-0.07600000000000007,-2.0,native
0.7388467,0.2671897,0.16,-1.934000000000001,122.745,-1860.199999999997,-0.10000000000000009,-3.0,native
0.5452446,0.2548115,0.11,-1.3019999999999996,-34.301000000000045,-2135.9000000000015,-0.09200000000000008,0.0,native
0.6395839,0.2831818,0.07,-2.776,-16.827999999999975,-1321.199999999997,-0.013000000000000345,0.0,native
0.6760814,0.2675745,0.07,-1.3010000000000002,-128.28200000000004,-1299.699999999997,-0.121,0.0,native
0.4960633,0.2646026,0.09,-0.918000000000001,-56.79500000000007,-1478.9000000000015,-0.040999999999999925,1.0,native
0.6376928,0.2844980,0.08,-1.939,-86.19400000000007,-2399.9000000000015,-0.06200000000000028,2.0,native
0.5238534,0.2506302,0.11,-0.6810000000000009,46.32899999999995,-1497.699999999997,-0.04400000000000004,1.0,native
0.6547756,0.3113059,0.13,-1.3510000000000009,40.511999999999944,-1673.0999999999985,-0.06000000000000005,0.0,native
0.5874874,0.2825731,0.07,-1.0370000000000008,10.697999999999979,-2328.199999999997,-0.1120000000000001,0.0,native
0.6797603,0.3031448,0.13,-2.2830000000000013,127.87699999999995,-2189.199999999997,-0.07900000000000018,-1.0,native
0.4955132,0.2807666,0.13,-0.6379999999999999,-3.733000000000061,-2060.9000000000015,-0.13200000000000012,1.0,native
0.5879755,0.2543816,0.1,0.2789999999999999,48.46399999999994,-1400.5999999999985,-0.14000000000000012,-1.0,native
0.6297813,0.2643389,0.13,-0.5650000000000013,-6.041000000000054,-1088.199999999997,-0.09200000000000008,-1.0,native
0.5964723,0.2648638,0.14,-0.718,-14.242000000000075,-460.6999999999971,-0.11500000000000021,-1.0,native
0.6237163,0.2691346,0.12,-3.378,28.307000000000016,-1582.0,-0.10499999999999998,1.0,native
0.5835199,0.2629458,0.12,-0.6059999999999999,47.108999999999924,-754.9000000000015,-0.19799999999999995,-2.0,native
0.6236202,0.2605316,0.14,-0.761000000000001,-9.907000000000039,-508.1999999999971,-0.10200000000000031,-2.0,native
0.7682629,0.2912816,0.12,-1.7910000000000004,-62.327999999999975,238.40000000000146,-0.038000000000000256,2.0,native
0.7343338,0.2548939,0.08,-1.5690000000000008,-22.975000000000023,-1284.5999999999985,-0.08300000000000018,0.0,native
0.6465835,0.2238909,0.11,-0.7270000000000003,-41.68100000000004,-2488.800000000003,-0.05699999999999994,1.0,native
0.4946328,0.2288026,0.12,0.677999999999999,-26.555000000000064,-1470.4000000000015,-0.0820000000000003,0.0,native
0.5830902,0.2582736,0.11,-0.06799999999999962,-104.00400000000002,-1532.0,-0.04899999999999993,1.0,native
0.4840662,0.2928241,0.1,2.309000000000001,323.94899999999996,-2092.2999999999956,0.05500000000000016,-6.0,non-native
0.3935349,0.2716528,0.1,1.1159999999999997,357.164,-954.0999999999985,0.016000000000000014,-5.0,non-native
0.4959380,0.2989759,0.11,0.6189999999999998,305.87299999999993,-1501.2999999999956,0.013000000000000345,-5.0,non-native
0.4664230,0.2728941,0.11,1.8500000000000014,336.926,-2233.199999999997,0.03300000000000036,-4.0,non-native
0.5558794,0.2828024,0.1,0.3689999999999998,350.45,-1050.2999999999956,0.04200000000000026,-6.0,non-native
0.4987921,0.3222302,0.13,0.4499999999999993,341.393,-1244.9000000000015,0.040000000000000036,-3.0,non-native
0.5762551,0.3360485,0.13,-0.20500000000000007,349.421,-812.5999999999985,0.10600000000000032,-3.0,non-native
0.5245905,0.3099685,0.11,-0.8930000000000007,320.37199999999996,-392.59999999999854,0.0770000000000004,-4.0,non-native
0.4526998,0.2833952,0.13,0.3550000000000004,332.669,-791.4000000000015,0.03300000000000036,-4.0,non-native
0.4609853,0.2887020,0.1,-0.27699999999999925,354.485,-1355.4000000000015,0.002000000000000224,-4.0,non-native
0.5439323,0.3338034,0.1,-1.8640000000000008,345.211,-2196.199999999997,0.04700000000000015,-4.0,non-native
0.5300884,0.3012663,0.1,-1.8089999999999993,308.952,-2621.699999999997,0.14800000000000013,-3.0,non-native
0.5498371,0.2997597,0.1,-1.4770000000000003,292.29999999999995,-2037.7999999999956,0.129,-4.0,non-native
0.4487313,0.2815225,0.09,-0.8439999999999994,330.64799999999997,-1759.699999999997,0.15000000000000036,-4.0,non-native
0.4856663,0.2926758,0.09,0.48799999999999955,321.89,-1224.5999999999985,0.08300000000000018,-5.0,non-native
0.4807325,0.2917154,0.13,-0.062000000000001165,270.14699999999993,52.30000000000291,0.13000000000000034,-4.0,non-native
0.5609937,0.3018739,0.1,0.43100000000000094,300.26699999999994,-14.400000000001455,0.14000000000000012,-3.0,non-native
0.6885076,0.3526876,0.12,0.02400000000000091,365.24199999999996,-2052.4000000000015,0.2030000000000003,-5.0,non-native
0.4911248,0.3103956,0.11,-0.7059999999999995,289.11299999999994,-1506.0999999999985,0.1200000000000001,-1.0,non-native
0.5692511,0.3062873,0.13,0.18400000000000105,304.14599999999996,-1293.0999999999985,0.10100000000000042,-4.0,non-native
0.4502463,0.2749666,0.08,1.1350000000000016,303.73900000000003,-359.1999999999971,0.05300000000000038,-5.0,non-native
0.5641385,0.2614926,0.11,-0.7140000000000004,228.413,-2481.4000000000015,-0.0519999999999996,-2.0,non-native
0.5476578,0.2836138,0.12,-1.1690000000000005,353.86899999999997,-2613.2999999999956,-0.1349999999999998,-4.0,non-native
0.3934613,0.2715769,0.22,-0.5939999999999994,347.836,-3415.9000000000015,-0.05799999999999983,-4.0,non-native
0.3419441,0.2686093,0.12,-2.9939999999999998,397.16499999999996,-3017.4000000000015,0.06100000000000039,-3.0,non-native
