rmsd_l,rmsd_i,dfnat,dbsa,dnonb_e,dnonb_water,dcom_distance,dhbnum,quality
0.6694999,0.2939661,0.15,0.743999999999998,-205.56399999999996,-1912.800000000003,-0.02499999999999991,0.0,native
0.6267923,0.2823826,0.18,2.7249999999999996,-239.27200000000005,-2095.0,-0.04400000000000004,0.0,native
0.9047666,0.3488254,0.16,1.368999999999998,-22.56899999999996,-2460.9000000000015,0.017999999999999794,-2.0,native
0.8760466,0.3345882,0.17,0.3819999999999997,-78.01800000000003,-1590.0,0.07799999999999985,-1.0,native
0.7541167,0.3318250,0.13,1.0250000000000004,37.605999999999995,-3243.300000000003,-0.017000000000000348,-3.0,native
0.9042218,0.3318847,0.19,0.1120000000000001,103.25599999999997,-3016.0999999999985,0.05099999999999971,-3.0,native
0.7287445,0.2217998,0.16,-0.0030000000000001137,133.753,-3391.4000000000015,0.02499999999999991,-4.0,native
0.7158288,0.2830298,0.16,2.610999999999999,-154.90300000000002,-1851.4000000000015,0.020000000000000018,0.0,native
0.6027805,0.2840165,0.21,-1.0760000000000005,149.10500000000002,-1897.5999999999985,0.052000000000000046,-4.0,native
0.7345313,0.2761354,0.14,-0.3200000000000003,138.23399999999998,-1898.5,-0.038000000000000256,-4.0,native
0.7334170,0.2664031,0.2,-0.14499999999999957,-3.7749999999999773,-2303.300000000003,-0.01200000000000001,-3.0,native
0.7306926,0.2492920,0.15,0.9560000000000013,111.80099999999999,-1050.300000000003,-0.026000000000000245,-4.0,native
0.7484858,0.2444504,0.14,-0.4320000000000004,10.299999999999955,-2653.699999999997,-0.06099999999999994,-2.0,native
0.7018126,0.2386498,0.16,1.0099999999999998,-57.43100000000004,-2065.199999999997,-0.08000000000000007,-1.0,native
0.8175147,0.2918844,0.17,-0.7889999999999997,34.47000000000003,-3576.4000000000015,0.042999999999999705,-2.0,native
0.9193935,0.3031622,0.18,0.29999999999999893,-216.11,-2531.5,-0.08300000000000018,-1.0,native
0.7803875,0.2611693,0.17,-1.0670000000000002,74.60799999999995,-2758.5999999999985,-0.04899999999999993,-3.0,native
0.8228938,0.2947328,0.2,0.23099999999999987,-69.67899999999997,-4011.199999999997,-0.008000000000000007,-2.0,native
0.7203699,0.2698437,0.15,0.7050000000000001,-10.134999999999991,-3534.5999999999985,-0.06800000000000006,-2.0,native
0.6985850,0.2581158,0.25,1.1079999999999988,-49.55899999999997,-2862.0,-0.07100000000000017,-1.0,native
0.7810240,0.2989763,0.25,1.1489999999999991,-140.02300000000002,-2320.5999999999985,-0.040999999999999925,0.0,native
0.6688998,0.2174168,0.21,-0.9039999999999999,115.89699999999999,-1520.699999999997,0.08099999999999996,-2.0,native
0.7363701,0.2448090,0.16,-0.0030000000000001137,-33.89200000000005,-2048.800000000003,-0.04700000000000015,-2.0,native
0.5960836,0.2352647,0.1,-2.0700000000000003,29.21199999999999,-2047.199999999997,-0.0030000000000001137,-1.0,native
0.3790093,0.2198108,0.17,-0.11400000000000077,-124.173,-1115.0999999999985,-0.002000000000000224,1.0,native
0.5368444,0.2582389,0.14,0.23099999999999987,-78.75900000000001,-196.6999999999971,0.02400000000000002,0.0,native
0.6446899,0.2371938,0.1,-1.9600000000000009,-161.55500000000006,-1596.5,0.022999999999999687,1.0,native
0.5158837,0.2506757,0.11,0.5649999999999995,-314.95900000000006,-499.6999999999971,0.06699999999999973,3.0,native
0.5851261,0.2499471,0.06,-1.7490000000000006,-77.77499999999998,-1566.9000000000015,-0.001000000000000334,2.0,native
0.6469778,0.2308384,0.11,-1.2400000000000002,-203.692,-710.9000000000015,-0.026000000000000245,4.0,native
0.5855862,0.2407007,0.12,-0.9860000000000007,-25.82000000000005,-2714.0999999999985,0.01399999999999979,1.0,native
0.4984341,0.2300092,0.11,1.017999999999999,-336.18000000000006,-1740.0,-0.03699999999999992,4.0,native
0.7346874,0.2486857,0.18,-1.487,-195.476,-283.6999999999971,0.010999999999999677,2.0,native
0.5660561,0.2099635,0.16,0.08399999999999963,-286.49800000000005,-786.6999999999971,-0.002000000000000224,4.0,native
0.7132850,0.2463971,0.11,-2.1500000000000004,-201.46800000000007,-864.0,0.0129999999999999,3.0,native
0.6210881,0.2326907,0.11,-0.9939999999999998,-243.54399999999998,-353.5,-0.027000000000000135,4.0,native
0.5025498,0.2281579,0.13,0.0730000000000004,-138.71900000000005,-1081.5999999999985,-0.03000000000000025,0.0,native
0.5934473,0.2134057,0.13,0.7569999999999997,-216.36800000000005,-1378.699999999997,-0.038000000000000256,1.0,native
0.6241711,0.2212433,0.17,1.5839999999999979,-323.06600000000003,-1174.4000000000015,-0.04499999999999993,4.0,native
0.5314188,0.2282373,0.16,1.2329999999999988,-214.01300000000003,-1851.4000000000015,-0.06700000000000017,3.0,native
0.6367298,0.2457348,0.14,0.8510000000000009,-210.92600000000004,-1268.5999999999985,-0.09800000000000031,1.0,native
0.5601184,0.2351767,0.15,0.42900000000000027,-234.87700000000007,-778.6999999999971,-0.11100000000000021,1.0,native
0.7621657,0.2749290,0.09,1.1920000000000002,318.43600000000004,-1340.7999999999956,-0.0519999999999996,-5.0,non-native
0.7699347,0.2715935,0.1,0.26500000000000057,293.34399999999994,-1724.7999999999956,-0.07499999999999973,-5.0,non-native
0.6410729,0.2602515,0.06,-0.6140000000000008,233.18100000000004,-809.9000000000015,0.0050000000000003375,-4.0,non-native
0.5580133,0.2509004,0.07,0.4939999999999998,279.16999999999996,-1469.5,-0.05099999999999971,-5.0,non-native
0.8665818,0.2639621,0.08,-1.0380000000000003,329.26699999999994,-2633.199999999997,-0.011999999999999567,-5.0,non-native
0.8715089,0.2729762,0.09,-0.20700000000000074,240.582,-2371.0,-0.05899999999999972,-4.0,non-native
0.8624977,0.2668616,0.12,-0.7680000000000007,290.548,-2783.0999999999985,-0.03799999999999981,-2.0,non-native
0.7188264,0.2578892,0.08,0.03999999999999915,308.009,-1790.0,0.013000000000000345,-4.0,non-native
0.6487733,0.2627862,0.13,0.9639999999999986,219.46399999999994,-3004.9000000000015,-0.0519999999999996,-3.0,non-native
0.7251230,0.2609341,0.08,0.8419999999999987,184.94100000000003,-2791.699999999997,-0.0349999999999997,0.0,non-native
0.5004804,0.2350177,0.09,1.0109999999999992,212.87299999999993,-2413.5,0.019000000000000128,-3.0,non-native
0.3382890,0.2423702,0.09,-0.22000000000000064,165.00199999999995,-1666.0,0.050000000000000266,-2.0,non-native
0.6641089,0.2708674,0.06,1.5470000000000006,172.95399999999995,-2512.199999999997,0.03000000000000025,-2.0,non-native
0.5857457,0.2484105,0.09,-0.006000000000000227,257.259,-1789.0,0.07500000000000018,-2.0,non-native
0.6335768,0.2618414,0.09,-0.4399999999999995,302.769,-3215.9000000000015,0.025000000000000355,-2.0,non-native
0.4453676,0.2360923,0.1,0.8120000000000012,242.54399999999998,-1896.0,0.05600000000000005,-2.0,non-native
0.4131534,0.2565413,0.09,-0.5510000000000002,276.88699999999994,-2910.4000000000015,0.06600000000000028,-3.0,non-native
0.6119277,0.2595707,0.09,0.6120000000000019,269.19399999999996,-2689.199999999997,0.05500000000000016,-3.0,non-native
0.3852161,0.2316481,0.11,-0.6180000000000003,351.396,-2876.7999999999956,0.05500000000000016,-4.0,non-native
0.5775994,0.2312087,0.09,-2.218,323.091,-3652.5,-0.0009999999999998899,-3.0,non-native
0.4149530,0.2475256,0.1,-3.1080000000000005,432.322,-2704.9000000000015,0.04700000000000015,-5.0,non-native
0.3046605,0.2473680,0.13,-0.6110000000000007,186.418,-1658.5999999999985,0.03500000000000014,-2.0,non-native
0.2745143,0.2394409,0.16,-1.016,189.23199999999997,-1285.199999999997,-0.008999999999999897,-4.0,non-native
0.2928396,0.2692031,0.14,-0.9689999999999994,300.94999999999993,-2924.0,0.028000000000000025,-4.0,non-native
0.4891428,0.2483225,0.16,0.24399999999999977,286.553,-2647.4000000000015,-0.03299999999999992,-4.0,non-native
0.3770074,0.2507728,0.14,-0.6470000000000002,259.009,-1940.0999999999985,-0.0129999999999999,-4.0,non-native
0.4533176,0.2836513,0.17,-1.116999999999999,341.652,-2545.9000000000015,0.03000000000000025,-4.0,non-native
0.3637621,0.2587548,0.2,-1.1519999999999992,297.66499999999996,-2967.9000000000015,0.0030000000000001137,-5.0,non-native
0.4717231,0.2687147,0.12,-1.8200000000000003,297.13599999999997,-2900.5999999999985,-0.042999999999999705,-4.0,non-native
0.3816026,0.2639374,0.15,-0.45500000000000007,199.08899999999994,-913.5,-0.029999999999999805,-2.0,non-native
