rmsd_l,rmsd_i,dfnat,dbsa,dnonb_e,dnonb_water,dcom_distance,dhbnum,quality
0.7699197,0.2753786,0.17,-1.6180000000000003,156.40699999999998,-1818.5999999999985,0.1599999999999997,-3.0,native
0.8559847,0.2810847,0.23,0.9049999999999994,-20.825000000000045,-1762.199999999997,0.07600000000000007,-2.0,native
0.7684656,0.2722937,0.18,-0.42300000000000004,78.56600000000003,-2055.9000000000015,0.0349999999999997,-4.0,native
0.7610123,0.2802861,0.2,-2.2569999999999997,278.392,-2943.5,0.09499999999999975,-5.0,native
0.7121704,0.2966310,0.21,2.7720000000000002,-150.19100000000003,-850.0,-0.06099999999999994,-1.0,native
0.7357035,0.2671338,0.16,-0.6470000000000002,170.255,-1951.0,0.01399999999999979,-4.0,native
0.8529726,0.2686127,0.21,0.18299999999999983,-69.87199999999996,-665.0999999999985,0.0009999999999998899,-1.0,native
0.8737308,0.3088624,0.14,0.947000000000001,-23.057999999999993,-2422.5999999999985,0.04800000000000004,-3.0,native
0.9972392,0.3282144,0.24,0.10299999999999976,50.36800000000005,-1743.9000000000015,0.09600000000000009,-4.0,native
0.8865855,0.3303245,0.19,0.1769999999999996,27.186000000000035,-1690.5,0.052999999999999936,-4.0,native
0.8856539,0.3109076,0.17,0.9090000000000007,14.023000000000025,-2112.800000000003,0.06499999999999995,-3.0,native
0.7953407,0.3040889,0.22,1.0269999999999992,-20.345000000000027,-1903.800000000003,0.008000000000000007,-1.0,native
0.8744226,0.3122346,0.2,0.41000000000000014,84.27499999999998,-2376.300000000003,0.04699999999999971,-2.0,native
0.8358665,0.3110439,0.19,0.9930000000000003,53.73599999999999,-2413.699999999997,0.020999999999999908,-2.0,native
0.7607580,0.2648244,0.25,-0.6470000000000002,66.90999999999997,-1382.0999999999985,0.1339999999999999,-3.0,native
0.5872000,0.2102262,0.2,0.9649999999999981,211.30200000000002,-2215.699999999997,0.07799999999999985,-5.0,native
0.8323433,0.2777891,0.24,1.1470000000000002,-17.34299999999996,-1647.9000000000015,-0.027000000000000135,-3.0,native
0.7379020,0.2682071,0.22,-1.3200000000000003,89.43799999999999,-1803.699999999997,0.06299999999999972,-3.0,native
0.7665858,0.2687335,0.14,-1.604000000000001,58.900999999999954,-2006.300000000003,0.06299999999999972,-2.0,native
0.6203618,0.2434641,0.16,0.34699999999999953,-98.79399999999998,-1479.9000000000015,-0.03000000000000025,-1.0,native
0.6687315,0.2611052,0.26,-0.37400000000000055,215.36200000000002,-2398.4000000000015,0.06699999999999973,-4.0,native
0.6341028,0.2361838,0.1,0.6579999999999995,13.269000000000005,-1572.199999999997,-0.17100000000000026,-2.0,native
0.7981212,0.2550045,0.11,-0.6270000000000007,-191.08900000000006,-1146.5999999999985,-0.07400000000000029,2.0,native
0.8647670,0.2801867,0.08,-1.1560000000000006,-213.13300000000004,-1408.0,-0.026000000000000245,2.0,native
0.9541007,0.2996692,0.09,-0.0470000000000006,-101.14600000000007,-1528.699999999997,-0.014000000000000234,-1.0,native
0.7952701,0.3075286,0.11,1.0739999999999998,-246.39200000000005,-1752.300000000003,-0.07500000000000018,1.0,native
0.6402702,0.2648050,0.09,1.2080000000000002,-190.486,-624.4000000000015,-0.13600000000000012,2.0,native
0.7364851,0.2970294,0.06,1.1880000000000006,-175.80399999999997,-1618.300000000003,-0.08899999999999997,2.0,native
0.8400946,0.2830182,0.06,-0.36400000000000077,-96.08800000000008,-1623.4000000000015,-0.06899999999999995,0.0,native
0.7701935,0.2912099,0.11,-0.5570000000000004,-171.966,-720.3000000000029,-0.11299999999999999,1.0,native
